value,label,color
C_cortado_1_gamma_4cj,C_cortado_1_gamma_4cj,253/129/100/100
C_cortado_1_gamma_4fc,C_cortado_1_gamma_4fc,255/52/41/100
C_cortado_1_gamma_4gf,C_cortado_1_gamma_4gf,251/109/97/100
C_cortado_1_gamma_4ip,C_cortado_1_gamma_4ip,253/129/100/100
C_cortado_1_gamma_4ro,C_cortado_1_gamma_4ro,255/52/41/100
C_cortado_2_gamma_5supb,C_cortado_2_gamma_5supb,166/0/0/100
C_cortado_2_gamma_5susu,C_cortado_2_gamma_5susu,166/0/0/100
C_cortado_4O1_gamma_6nfan,C_cortado_4O1_gamma_6nfan,255/108/108/100
C_cortado_4O1_gamma_6nffa,C_cortado_4O1_gamma_6nffa,255/108/108/100
C_cortado_4O1_gamma_6nfmg,C_cortado_4O1_gamma_6nfmg,255/108/108/100
C_cortado_delta_gb,C_cortado_delta_gb,0/145/51/100
Eib,Eib,168/168/168/100
Em,Em,168/168/168/100
Er,Er,245/208/97/100
K2E1_lambda_ib,K2E1_lambda_ib,0/255/0/100
K2E1_lambda_it,K2E1_lambda_it,0/216/216/100
K2E1_lambda_mcu,K2E1_lambda_mcu,0/255/0/100
K2E1_lambda_smp,K2E1_lambda_smp,0/255/0/100
K2E1_lambda_sms,K2E1_lambda_sms,0/255/0/100
K2E1_lambda_st,K2E1_lambda_st,0/216/216/100
K2E1_lambda_ta,K2E1_lambda_ta,0/216/216/100
K2E1_lambda_ti,K2E1_lambda_ti,0/216/216/100
NP23_beta_rngb,NP23_beta_rngb,0/186/50/100
NP23_gamma_1rn,NP23_gamma_1rn,205/171/255/100
NP23_lambda_rnc,NP23_lambda_rnc,108/255/108/100
NP3_gamma_2cg,NP3_gamma_2cg,204/0/0/100
NP3_gamma_2co,NP3_gamma_2co,255/191/233/100
NP3_gamma_2cst,NP3_gamma_2cst,253/129/100/100
NP3_gamma_2itc,NP3_gamma_2itc,255/69/128/100
NP3_gamma_2lgnco,NP3_gamma_2lgnco,255/191/233/100
NP3_gamma_2re,NP3_gamma_2re,242/87/144/100
NP3_gamma_2rj,NP3_gamma_2rj,166/0/166/100
NP3_gamma_2rt,NP3_gamma_2rt,251/113/113/100
NP3_gamma_2sp,NP3_gamma_2sp,242/87/144/100
NP3_gamma_2tg,NP3_gamma_2tg,255/69/128/100
NP3_gamma_3ig,NP3_gamma_3ig,211/137/212/100
NP3_gamma_3sor,NP3_gamma_3sor,230/0/169/100
NP3bp,NP3bp,153/255/153/100
NPrpaa,NPrpaa,137/112/68/100
NPrpcbg,NPrpcbg,168/112/0/100
NPrpcsg,NPrpcsg,255/170/0/100
NPrpq,NPrpq,255/255/0/100
NPsfbgn,NPsfbgn,191/255/0/100
NPsfkz,NPsfkz,204/255/204/100
PP2jfgl,PP2jfgl,107/194/102/100
PP2q,PP2q,161/158/188/100
PRps,PRps,177/169/162/100
Q2a,Q2a,254/250/194/100
Q2at,Q2at,250/250/217/100
Q2li,Q2li,235/233/106/100
Q2pm,Q2pm,254/233/165/100
Qfm,Qfm,245/254/204/100
Qt,Qt,222/222/222/100
